canto	lineStart	lineEnd	circle	shortDescript	motion	threshold	object	speech	objectType	objectNumber	distribution	rows	radiusEnd	radiusStart	ychange	HSLlightHigh	HSLlightLow	HSLsat	HSLhue	danteTheta	thetaSpread	thetaStart	thetaGapStart	thetaGapEnd	dotSize	dots		
1	1	30	-1	In the Dark Wood	0	0	1		Architecture	multi																		
1	31	42	-1	The Leopard	0	0	1		Demon	1																		
1	43	60	-1	The Lion and the She-Wolf	0	0	1		Demons	2																		
1	61	87	-1	Virgil	1		1		Virgil	1																		
1	88	111	-1	Virgils Prophecy	0		0		Virgil																			
1	112	136	-1	The Journey	0		0		Virgil																			
2	1	42	-1	Dantes Fear	0		0		Virgil																			
2	43	57	-1	Virgil was sent by Beatrice	0		0		Virgil																			
2	58		-1	Beatrice's words with Virgil	0		0		Virgil																			
2	94		-1	Beartice's words with Lucy	0				Virgil																			
2	115		-1	Virgil spurs Dante on	0				Virgil																			
2	127	142	-1	They embark	1				Virgil																			
3	1	21	-1	At the Gate	1	1	TRUE		Architecture	1																		
3	22	69	0	The Neutrals	1		TRUE		Neutrals	m	rows	2	2	2	0	0.43	0	0.06	0.58	4.3	0.05	5			0.5	80		
3	70	81	0	Souls at the Banks of Acheron	1		TRUE		Souls	m	scatter	2	3	6	0	0.5	0.3	1	0.11	4.3	0.3	4.45			0.4	47		
3	82	99	0	Charon	1		TRUE		Demon	1	rows	1	10	10	0	0.35	0	1	0.02	4.3	0	4.3			0.5	1		
3	100	120	0	Charon ferrys the Souls	1		FALSE		Demon																			
3	121	136	0	Virgil and an Earthquake	0	0	FALSE		Dante																			
4	1	24	0	Entering the First Circle	1	1	FALSE		Dante																			
4	25	66	1	Souls of Limbo	1		1		Souls	m	scatter	2	5	3	0	0.8	0.2	1	0.11	4.3	2.6	5.7			0.4	90		
4	67	78	1	The Brighter Ridge of Limbo	1		1		Souls	m	scatter	2	5	3	0	0.8	0.05	1	0.11	4.3	1	3.1			0.4	80		
4	79	105	1	"Homer, Horace, Ovid, Lucan"	1		1		Souls	4	rows	2	2	3	0	0.8	0	1	0.11	4.3	0.02	2.1			0.6	4		
4	106	117	1	The Noble Castle	1		1		Architecture	1	rows	1	5	5	0	0.32	0	1	0.27	4.3	0.02	2			1.2	1		
4	118	129	1	Unsaved Virtuous: Active Life	1		1		Souls	14	rows	2	1	6	0	0.65	0	1	0.11	4.3	0.02	1.95			0.4	14		
4	130	151	1	Unsaved Virtuous: Comteplative Life	1	1	1		Souls	21	rows	3	1	2	0	0.75	0	1	0.11	4.3	0.02	1.95			0.4	21		
5	1	24	2	Minos	1	1	1		Demon	1	rows	1	0	0	0	0.3	0	1	0.02	1.5	0	1.5			0.6	1		
5	25	45	2	Souls (The Lustful)	1		1		Souls	m	scatter	2	5	3	0	0.5	0.2	1	0.11	1.2	4	2.5	0.6	0.2	0.4	167		
5	46	72	2	Ladies and Knights of Old	1		1		Souls	12	rows	2	2	4	0	0.5	0.2	1	0.11	0.5	0.02	0.5			0.5	12		
5	73	87	2	Francesca and Paolo	0		1		Souls	2	rows	2	2	4	0	0.3	0	1	0.11	1.2	0.02	0.25			0.6	2		
5	88	108	2	Francesca speaks	0		0		Souls																			
5	109	120	2	Dante and Virgil's Response	0		0		Dante																			
5	121	142	2	Francesca's reply	0		0		Souls																			
6	1	12	3	Dante awakes in the Third Circle	1	1	0		Dante																			
6	13	33	3	Cerberus	1		1		Demon	1	rows	1	0	0	0	0.3	0	1	0.02	4.5	0	4.5			0.6	1		
6	34	36	3	Souls (The Gluttons)	1		1		Souls	m	scatter	2	5	3	0	0.4	0	1	0.11	1.2	4	6			0.4	88		
6	37	57	3	Ciacco	1		1		Soul	1	rows	1	2	9	0	0.5	0	1	0.11	1.2	0.02	4			0.6	1		
6	58	76	3	Ciacco on Florence	0		0		Soul																			
6	77	93	3	Ciacco on Townsmen	0		0		Soul																			
6	94	115	3	Dante and Virgil Continue On	1		0		Dante																			
7	1	15	4	Plutus	1		1		Demon	1	rows	1	0	0	0	0.3	0	1	0.02	2.7	0	2.7			0.6	1		
7	16	36	4	Soul (Avaricious and Prodigal)	1		1		Souls	m	scatter	2	6	3	0	0.45	0	1	0.11	1.2	4	4.3			0.4	148		
7	37	66	4	Discourse on the Souls	0		0		Virgil																			
7	67	96	4	Virgil on Fortune	0		0		Virgil																			
7	97	108	5	The River Styx	1	1	0		Architecture																			
7	109	117	5	Souls in the Bog of Styx	1		1		Souls	m	scatter	2	1	2	0	0.4	0	1	0.11	1.2	4	3			0.4	72		
7	118	130	5	Souls under Styx	0		1		Souls	m	scatter	2	5	4	0	0.15	0.1	0.35	0.72	1.2	4	3			0.4	97		
8	1	12	5	Tower in the distance	0		0		Architecture																			
8	13	24	5	Phlegyas	0		1		Demon	1	rows	1	0	7	1	0.4	0	1	0.02	0.9	0	0.9			0.7	1		
8	25	30	5	Boarding the Skiff	1		0		Demon																			
8	31	63	5	Flippo Argenti	1		1		Soul	1	rows	1	0	9	0.5	0.35	0	0.35	0.72	0.9	0	0.91			0.4	1		
8	64	81	5	Approaching Dis	1		0		Architecture																			
8	82	93	6	The Wall of Dis	0	1	1		Demons	m	scatter	2	3	-1	5	0.3	0.1	1	0.02	0.9	1.7	1.9			0.45	99		
8	94	114	6	Virgil go to the Fallen Angels	1		0		Virgil																			
8	115	130	6	The Gates to Lower Hell are shut	1		0		Demons																			
9	1	15	6	Outside the Gates	0		0		Dante																			
9	16	33	6	Virgil's prior journey through Hell	0		0		Virgil		distribution	rows	radiusEnd	radiusStart	ychange	HSLlightHigh	HSLlightLow	HSLsat	HSLhue	danteTheta	thetaSpread	thetaStart			dotSize	dots		
9	34	51	6	The Furies	0		1		Demons	3					Atop the wall													
9	52	63	6	Medusa may appear	0		0		Demons																			
9	64	84	6	A Messenger Approaches	1		0		Angel			Easter Egg: Reading only																
9	85	99	6	The Messenger	0		1		Angel	1		Easter Egg	(Blue White)															
9	100	105	6	The Messenger departs	0		0		Angel																			
9	106	117	6	Entry into Dis	1	1	0		Dante																			
9	118	133	6	Souls in Tombs (Heritics)	1		1		Souls	m	scatter	1	3	1	0	0.48	0.4	1	0.11	1.2	3	2.5	1.65	1.15	0.7	63	right turn	tombs/larger souls
10	1	21	6	Dante and Virgil among the Tombs	1		0		Dante																			
10	22	51	6	Farinata	0		1		Soul	1	rows	1	0	3	0	0.51	0	1	0.11	1.3	0	1.3			0.75	1		
10	52	72	6	Cavalcante (in the same Tomb)	0		1		Soul	1	rows	1	0	3	0.5	0.4	0	1	0.11	1.3	0	1.33			0.35	1		
10	73	93	6	Farinata's family and Florence	0		0		Soul																			
10	94	108	6	Souls's knowledge of the present	0		0		Soul																			
10	109	114	6	Dante's apology	0		0		Dante																			
10	115	123	6	Other Souls in the Tomb	0		1		Souls	m	rows	2	1	2.7	0	0.4	0.3	1	0.11	1.3	0.02	1.5			0.3	14		
10	124	136	6	Toward the Seventh Circle	1	0	0		Dante																			
11	1	15	6	Tomb of Pope Anastasius	0		1		Soul	1	rows	1	0	5	0	0.46	0	1	0.11	0.2	0	0.2			0.75	1		
11	16	66	6	Virgil on the Lowest Circles	0		0		Virgil																			
11	67	90	6	Virgil on Upper Hell	0		0		Virgil																			
11	91	115	6	Virgil on Usury	0		0		Virgil																			
12	1	12	7	Descent of Sight of the Minotaur	1	1	0		Demon																			
12	13	27	7	The Minotaur	1	1	1		Demon	1	rows	1	0	0.5	0	0.3	0	1	0.02	0.5	0	0.5			0.6	1		
12	28	45	7	The Rockslide	1	1	0		Architecture																			
12	46	54	7	Phlegethon (River of Blood)	1		0		Architecture																			
12	55	66	7	The Centaurs	1		1		Demons	m	rows	2	2	2	0	0.3	0.12	1	0.02	6	6	6			0.5	80		
12	67	75	7	"Nessus, Chiron, Pholus (Centaurs)"	1		1		Demons	3																		
12	76	90	7	Chiron sees Dante is alive	0		0		Demons																			
12	90	102	7	Nessus assigned to protect them	0		0		Demons																			
12	103	114	7	Souls in River (Violence to Others)	1		1		Souls 	4																		
12	115	117	7	River up to their heads	0		1		Souls 	m	scatter	2	3	2	0	0.15	0.25	0.89	0.1	1.2	6	3			0.4	97		
12	118	120	7	Guy de Montfort	0		1		Soul	1																		
12	121	126	7	Crossing on Nessus's back	1		0		Dante																			
12	127	139	7	Other Souls in the River	1		1		Souls	5																		
13	1	9	7	The Forest (Violence to Self)	1		1		Souls	m																		
13	10	15	7	The Harpies	1		1		Demons	m																		
13	16	30	7	Lamentations of the Trees	1		0		Souls																			
13	31	54	7	Pier delle Vigne	0		1		Soul	1																		
